============== 거래 내역 ==============
[2025-06-06 01:00] 🟦 매수 | 가격: 141,928,000 | 수량: 0.004225 | 총 매수가격: 600,000 | 남은 자본: 2,400,000원
[2025-06-06 01:30] 🟦 매수 | 가격: 141,928,000 | 수량: 0.003380 | 총 매수가격: 480,000 | 남은 자본: 1,920,000원
[2025-06-06 02:00] 🟦 매수 | 가격: 141,928,000 | 수량: 0.002704 | 총 매수가격: 384,000 | 남은 자본: 1,536,000원
[2025-06-06 02:30] 🟦 매수 | 가격: 141,928,000 | 수량: 0.002163 | 총 매수가격: 307,200 | 남은 자본: 1,228,800원
[2025-06-06 03:00] 🟦 매수 | 가격: 141,928,000 | 수량: 0.001731 | 총 매수가격: 245,760 | 남은 자본: 983,040원
[2025-06-06 03:30] 🟦 매수 | 가격: 141,928,000 | 수량: 0.001385 | 총 매수가격: 196,608 | 남은 자본: 786,432원
[2025-06-06 04:00] 🟦 매수 | 가격: 141,928,000 | 수량: 0.001108 | 총 매수가격: 157,286 | 남은 자본: 629,146원
[2025-06-06 04:30] 🟦 매수 | 가격: 141,928,000 | 수량: 0.000886 | 총 매수가격: 125,829 | 남은 자본: 503,316원
[2025-06-06 05:00] 🟦 매수 | 가격: 141,588,000 | 수량: 0.000711 | 총 매수가격: 100,663 | 남은 자본: 402,653원
[2025-06-06 05:30] 🟦 매수 | 가격: 141,588,000 | 수량: 0.000568 | 총 매수가격: 80,531 | 남은 자본: 322,123원
[2025-06-06 06:00] 🟦 매수 | 가격: 141,588,000 | 수량: 0.000455 | 총 매수가격: 64,424 | 남은 자본: 257,698원
[2025-06-06 06:30] 🟦 매수 | 가격: 141,588,000 | 수량: 0.000364 | 총 매수가격: 51,540 | 남은 자본: 206,158원
[2025-06-06 07:00] 🟦 매수 | 가격: 141,588,000 | 수량: 0.000291 | 총 매수가격: 41,232 | 남은 자본: 164,927원
[2025-06-06 07:30] 🟦 매수 | 가격: 141,588,000 | 수량: 0.000233 | 총 매수가격: 32,985 | 남은 자본: 131,941원
[2025-06-06 08:00] 🟦 매수 | 가격: 141,588,000 | 수량: 0.000186 | 총 매수가격: 26,388 | 남은 자본: 105,553원
[2025-06-06 08:30] 🟦 매수 | 가격: 141,588,000 | 수량: 0.000149 | 총 매수가격: 21,111 | 남은 자본: 84,442원
[2025-06-10 05:00] 🟥 매도 | 가격: 150,330,000 | 수량: 0.020539 | 실현 금액: 3,086,133 | 남은 자본: 3,170,575원
              ➞ 투자 수익: 170,576원 (평균 매수가: 141,949,992)
[2025-06-22 21:00] 🟦 매수 | 가격: 138,069,000 | 수량: 0.004590 | 총 매수가격: 634,115 | 남은 자본: 2,536,460원
[2025-06-22 21:30] 🟦 매수 | 가격: 138,069,000 | 수량: 0.003672 | 총 매수가격: 507,292 | 남은 자본: 2,029,168원
[2025-06-22 22:00] 🟦 매수 | 가격: 138,069,000 | 수량: 0.002938 | 총 매수가격: 405,834 | 남은 자본: 1,623,334원
[2025-06-22 22:30] 🟦 매수 | 가격: 138,069,000 | 수량: 0.002350 | 총 매수가격: 324,667 | 남은 자본: 1,298,668원
[2025-06-22 23:00] 🟦 매수 | 가격: 138,069,000 | 수량: 0.001880 | 총 매수가격: 259,733 | 남은 자본: 1,038,934원
[2025-06-22 23:30] 🟦 매수 | 가격: 138,069,000 | 수량: 0.001504 | 총 매수가격: 207,787 | 남은 자본: 831,147원
[2025-06-23 00:00] 🟦 매수 | 가격: 138,069,000 | 수량: 0.001203 | 총 매수가격: 166,229 | 남은 자본: 664,918원
[2025-06-23 00:30] 🟦 매수 | 가격: 138,069,000 | 수량: 0.000963 | 총 매수가격: 132,984 | 남은 자본: 531,934원
[2025-06-23 01:00] 🟦 매수 | 가격: 137,717,000 | 수량: 0.000772 | 총 매수가격: 106,387 | 남은 자본: 425,547원
[2025-06-23 01:30] 🟦 매수 | 가격: 137,717,000 | 수량: 0.000618 | 총 매수가격: 85,109 | 남은 자본: 340,438원
[2025-06-23 02:00] 🟦 매수 | 가격: 137,717,000 | 수량: 0.000494 | 총 매수가격: 68,088 | 남은 자본: 272,350원
[2025-06-23 02:30] 🟦 매수 | 가격: 137,717,000 | 수량: 0.000395 | 총 매수가격: 54,470 | 남은 자본: 217,880원
[2025-06-23 03:00] 🟦 매수 | 가격: 137,717,000 | 수량: 0.000316 | 총 매수가격: 43,576 | 남은 자본: 174,304원
[2025-06-23 03:30] 🟦 매수 | 가격: 137,717,000 | 수량: 0.000253 | 총 매수가격: 34,861 | 남은 자본: 139,443원
[2025-06-23 04:00] 🟦 매수 | 가격: 137,717,000 | 수량: 0.000202 | 총 매수가격: 27,889 | 남은 자본: 111,555원
[2025-06-23 04:30] 🟦 매수 | 가격: 137,717,000 | 수량: 0.000162 | 총 매수가격: 22,311 | 남은 자본: 89,244원
[2025-07-10 01:00] 🟥 매도 | 가격: 151,203,000 | 수량: 0.022314 | 실현 금액: 3,372,311 | 남은 자본: 3,461,555원
              ➞ 투자 수익: 290,981원 (평균 매수가: 138,087,327)
[2025-08-02 01:00] 🟦 매수 | 가격: 158,260,000 | 수량: 0.004372 | 총 매수가격: 692,311 | 남은 자본: 2,769,244원
[2025-08-02 01:30] 🟦 매수 | 가격: 158,260,000 | 수량: 0.003498 | 총 매수가격: 553,849 | 남은 자본: 2,215,395원
[2025-08-02 02:00] 🟦 매수 | 가격: 158,260,000 | 수량: 0.002798 | 총 매수가격: 443,079 | 남은 자본: 1,772,316원
